what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.server.ui,1.1.102.v20090515,"org.eclipse.wst.server.launchShortcut.run",1380424161963
opened,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1380424162057
activated,editor,org.eclipse.ui.browser,3.2.300.v20090526,"org.eclipse.ui.browser.editor",1380424162072
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1380424165667
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424166245
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424166417
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424167464
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424168981
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424171106
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424190579
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1380424191955
activated,editor,org.eclipse.jst.jsp.ui,1.1.400.v200904292008,"org.eclipse.jst.jsp.core.jspsource.source",1380424192173
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424198783
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424530984
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424666554
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424697368
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424721260
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424725401
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424725588
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380424728651
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380425307221
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380426006351
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380426007257
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380426007382
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1380426008226
